Date_Checked,Isolate,Sub_Isolate,Clustered_morphotype,State,Date_Subcultured,coverage,Reculture,Contaminated,Comments
8-Jul-18,1234567,1,1234567,3,10-Jun-17,50,Y,N,
8-Jul-18,884,1,1,2,28-Jul-17,100,N,N,
8-Jul-18,49,1,1,4,18-Jul-17,100,N,N,
8-Jul-18,327,1,1,1,20-Jul-17,90,Y,N,
8-Jul-18,69,1,1,1,6-Oct-17,100,Y,N,
8-Jul-18,312,2,5,5,25-Sep-17,100,N,Y,cont. white fuzz in a small place
8-Jul-18,359,1,5,2,26-Jul-17,100,Y,N,
8-Jul-18,1013,1,1,4,28-Jul-17,100,N,N,
8-Jul-18,1122,2,1,5,21-Nov-17,100,N,N,
8-Jul-18,438,1,1,4,21-Jul-17,100,N,N,
8-Jul-18,1231,1,1,3,29-Jul-17,100,Y,N,
8-Jul-18,327,2,1,5,25-Sep-17,100,N,N,
8-Jul-18,171,1,2,4,19-Jul-17,100,N,N,
8-Jul-18,468,1,1,3,22-Jul-17,100,Y,N,
8-Jul-18,881,2,1,5,26-Sep-17,60,N,N,
8-Jul-18,394,1,1,1,21-Jul-17,100,Y,N,
8-Jul-18,262,1,1,1,20-Jul-17,40,Y,N,
8-Jul-18,335,1,3,1,20-Jul-17,30,Y,N,
8-Jul-18,60,1,3,2,18-Jul-17,20,Y,Y,dark cont. around edges
8-Jul-18,312,1,5,1,20-Jul-17,70,Y,N,
8-Jul-18,1135,1,3,5,28-Jul-17,100,N,N,
8-Jul-18,188,1,4,5,21-Nov-17,100,N,N,
8-Jul-18,394,2,1,3,21-Jul-17,100,Y,N,
8-Jul-18,69,2,1,1,18-Jul-17,100,Y,N,
8-Jul-18,1122,3,1,5,26-Sep-17,100,N,N,
8-Jul-18,680,1,8,5,26-Jul-17,100,N,N,
8-Jul-18,404,1,8,4,21-Jul-17,100,N,N,
8-Jul-18,401,1,9,1,21-Jul-17,100,Y,N,
8-Jul-18,341,2,6,5,25-Sep-17,100,N,N,
8-Jul-18,341,3,6,3,19-Jan-18,80,N,N,
8-Jul-18,384,1,7,3,21-Jul-17,50,Y,N,
8-Jul-18,401,2,9,2,26-Sep-17,100,Y,Y,white splotches on parts cont.
8-Jul-18,555,1,14,5,25-Sep-17,100,N,N,
8-Jul-18,93,1,12,5,18-Jul-17,95,N,N,
8-Jul-18,515,1,13,2,22-Jul-17,100,Y,N,
